epoch,acc,loss,top2_acc,val_acc,val_loss,val_top2_acc
0,0.203218743,2.71710515,0.5,0.329149604,1.866576314,0.53125
1,0.397937506,1.683469772,0.671875,0.450051218,1.471174717,0.71875
2,0.477718741,1.41932559,0.6875,0.495901644,1.317183852,0.65625
3,0.526531279,1.256717682,0.6875,0.538422108,1.232797384,0.875
4,0.572593749,1.129772902,0.796875,0.566342235,1.119277596,0.71875
5,0.597000003,1.058630466,0.734375,0.58580941,1.049830556,0.75
6,0.621656239,0.980182886,0.765625,0.600153685,1.002980709,0.75
7,0.643781245,0.927114427,0.90625,0.643954933,0.921675324,0.8125
8,0.661593735,0.880307555,0.90625,0.618852437,0.966929495,0.875
9,0.670531273,0.844864726,0.859375,0.606045067,1.032563925,0.78125
10,0.683812499,0.806887925,0.859375,0.637295067,0.903993368,0.84375
11,0.701187491,0.761787534,0.890625,0.670338094,0.82773453,0.84375
12,0.712062478,0.728586853,0.796875,0.653944671,0.901552856,0.75
13,0.72196877,0.712001979,0.9375,0.657018423,0.896473944,0.875
14,0.735562503,0.673970342,0.9375,0.671875,0.857274652,0.8125
15,0.740187526,0.664844096,0.859375,0.655993879,0.895770967,0.875
16,0.749437511,0.642098546,0.90625,0.67981559,0.807195008,0.8125
17,0.754343748,0.624850214,0.9375,0.709016383,0.769033074,0.90625
18,0.758687496,0.606304109,0.890625,0.662397563,0.909511387,0.9375
19,0.767906249,0.586346924,0.9375,0.705430329,0.733373046,0.96875
20,0.779812515,0.557467878,0.921875,0.719262302,0.733541608,0.875
21,0.780062497,0.559436381,0.953125,0.689549208,0.802325428,0.96875
22,0.784937501,0.542932749,0.890625,0.713114738,0.766610384,0.90625
23,0.793124974,0.526340604,0.90625,0.722592235,0.729753315,0.875
24,0.799437523,0.508706212,0.9375,0.730532765,0.693413496,0.875
25,0.80400002,0.497904718,0.9375,0.735399604,0.724184453,0.875
26,0.804499984,0.49375391,0.9375,0.720030725,0.758935511,0.84375
27,0.812031269,0.477534831,0.9375,0.718493879,0.770447731,0.9375
28,0.815781236,0.469835371,0.90625,0.733094275,0.703077197,0.84375
29,0.824000001,0.451279074,0.9375,0.726946712,0.734828174,0.9375
30,0.82181251,0.449559063,0.953125,0.755891383,0.631287098,0.875
31,0.83099997,0.43048358,0.921875,0.736424208,0.730928242,0.8125
32,0.83031249,0.438531697,0.96875,0.736424208,0.719009817,1
33,0.827593744,0.438847095,0.96875,0.753842235,0.675641656,0.90625
34,0.838999987,0.409323871,0.9375,0.739754081,0.739050567,0.90625
35,0.836406231,0.412145108,0.96875,0.754098356,0.665412545,0.875
36,0.839562476,0.403659791,0.984375,0.713883221,0.822701216,0.8125
37,0.845843732,0.388693273,0.953125,0.766137302,0.667593777,0.875
38,0.848843753,0.38531357,1,0.737961054,0.771170437,0.9375
39,0.848500013,0.385720223,0.9375,0.762038946,0.664109826,0.875
40,0.856343746,0.370371073,0.9375,0.758709013,0.703161716,0.875
41,0.85696876,0.368600488,0.984375,0.762295067,0.692163229,0.8125
42,0.858531237,0.364258528,0.953125,0.776383221,0.658925056,0.875
43,0.858468771,0.362739444,0.96875,0.754866779,0.676382661,0.9375
44,0.863437474,0.348588079,0.96875,0.74487704,0.750434756,0.96875
45,0.864562511,0.345935643,0.984375,0.767161906,0.641260505,0.9375
46,0.867968738,0.335369438,0.921875,0.754098356,0.744206488,0.96875
47,0.864250004,0.347444445,0.953125,0.762807369,0.713247359,0.96875
48,0.869937479,0.334994078,0.984375,0.727459013,0.830119252,0.96875
49,0.872874975,0.324892938,0.96875,0.771260262,0.651312768,0.9375
50,0.870093763,0.336706787,1,0.763575792,0.703622282,0.9375
51,0.874187529,0.322397262,1,0.774077892,0.675663412,0.84375
52,0.878312528,0.311767459,0.96875,0.767161906,0.69358629,0.9375
53,0.881406248,0.3052724,0.984375,0.783299208,0.635939658,0.90625
54,0.881500006,0.303381056,1,0.752817631,0.739224434,0.96875
55,0.882843733,0.302148551,0.96875,0.770235658,0.725584924,0.90625
56,0.883062482,0.301494837,0.984375,0.764088094,0.708526313,0.96875
57,0.885781229,0.296195984,0.921875,0.733094275,0.875238895,0.84375
58,0.886281252,0.296665877,0.953125,0.771260262,0.693148255,0.8125
59,0.889187515,0.283204406,1,0.778432369,0.722387791,0.9375
60,0.88418752,0.298258662,1,0.772284865,0.730826437,0.9375
61,0.891156256,0.281203657,0.953125,0.772284865,0.712124288,0.96875
62,0.892968774,0.278476775,0.984375,0.764600396,0.781797945,0.8125
63,0.887499988,0.290001035,0.96875,0.783299208,0.693587363,0.9375
64,0.893374979,0.274721205,1,0.792520463,0.660020769,0.96875
65,0.892624974,0.271792293,0.984375,0.785348356,0.693050802,0.9375
66,0.896093726,0.269264966,0.9375,0.768954933,0.758584559,0.90625
67,0.897687495,0.269636244,0.984375,0.765881121,0.779962063,0.90625
68,0.898562491,0.265185356,1,0.776895463,0.727187514,0.8125
69,0.90028125,0.259696037,1,0.770235658,0.73824054,1
70,0.8984375,0.264968574,0.984375,0.777151644,0.726776719,0.96875
71,0.90234375,0.257531792,0.953125,0.774077892,0.763713002,0.84375
72,0.90303123,0.258654684,0.984375,0.775870919,0.730783761,0.84375
73,0.905687511,0.243989289,0.984375,0.775614738,0.731708348,0.9375
74,0.901875019,0.254155368,0.984375,0.772540987,0.754116356,0.9375
75,0.902281225,0.2594212,0.96875,0.772028685,0.760267913,0.875
76,0.905624986,0.249037549,0.953125,0.77356559,0.725467324,1
77,0.906718731,0.244821101,0.984375,0.780481577,0.73522836,0.875
78,0.905812502,0.246417388,0.984375,0.760245919,0.813721299,1
79,0.905125022,0.249522567,1,0.792776644,0.705599427,0.9375
80,0.910781264,0.232138976,0.984375,0.786116779,0.741696954,0.9375
81,0.907000005,0.249372646,1,0.786885262,0.739255667,0.875
82,0.909218729,0.239961639,0.984375,0.786116779,0.725301206,0.9375
83,0.9083125,0.239919528,1,0.796106577,0.726235688,0.9375
84,0.91234374,0.229188442,0.984375,0.779713094,0.742855251,0.9375
85,0.911937475,0.23535116,0.984375,0.782018423,0.736092627,0.9375
86,0.910749972,0.233529523,1,0.780481577,0.752480984,0.90625
87,0.912093759,0.231155783,0.953125,0.776383221,0.79794699,0.84375
88,0.912031233,0.227927104,0.984375,0.79431355,0.715577304,0.875
89,0.91796875,0.217624798,0.96875,0.784323752,0.741983294,0.96875
90,0.913937509,0.227037162,1,0.771516383,0.816038251,0.84375
91,0.918718755,0.217110381,1,0.765881121,0.87537539,1
92,0.917656243,0.221417442,0.96875,0.778432369,0.785965264,0.875
93,0.914156258,0.228860989,0.984375,0.78893441,0.720825911,0.875
94,0.918250024,0.219276935,0.984375,0.75768441,0.865463853,0.90625
95,0.921906233,0.21024847,0.9375,0.784323752,0.76444906,0.96875
96,0.919312477,0.215024978,0.984375,0.785092235,0.799667597,0.90625
97,0.917906225,0.218268231,0.984375,0.759221315,0.898272574,0.6875
98,0.02040625,104.4270554,0.15625,0.024846312,4.134678841,0
99,0.04384375,3.796120405,0.09375,0.07940574,3.235299826,0
100,0.103812501,3.078963995,0.1875,0.118852459,2.767295122,0
101,0.132874995,2.755129576,0.40625,0.144979507,2.615112782,0
102,0.1426875,2.693919182,0.4375,0.149590164,2.582524776,0
103,0.155187503,2.64524579,0.375,0.161116809,2.545892239,0
104,0.155062497,2.621869326,0.1875,0.165471315,2.519263744,0
105,0.161312506,2.591751575,0.28125,0.173411891,2.498007059,0
106,0.167406246,2.569140673,0.5,0.177254096,2.47193408,0
